feature,disease
Ulnar Deviation Contracture (Claw Hand),Dupuytren contracture
Ulnar Deviation Contracture (Claw Hand),Dystonic clenched fist
Ulnar Deviation Contracture (Claw Hand),Ehlers-Danlos syndrome
Ulnar Deviation Contracture (Claw Hand),Electrical injury
Ulnar Deviation Contracture (Claw Hand),Epidermolysis bullosa
Ulnar Deviation Contracture (Claw Hand),Fetal akinesia sequence
Ulnar Deviation Contracture (Claw Hand),Freeman-Sheldon syndrome
Ulnar Deviation Contracture (Claw Hand),Frostbite
Ulnar Deviation Contracture (Claw Hand),Hand-arm  vibration syndrome (jackhammer operators)
Ulnar Deviation Contracture (Claw Hand),Leprosy
Ulnar Deviation Contracture (Claw Hand),Mucolipidoses
Ulnar Deviation Contracture (Claw Hand),Mucopolysaccharidoses
Ulnar Deviation Contracture (Claw Hand),Myotonic dystrophy
Ulnar Deviation Contracture (Claw Hand),Neurologic disorders
Ulnar Deviation Contracture (Claw Hand),Reflex sympathetic dystrophy
Ulnar Deviation Contracture (Claw Hand),Windblown hand deformity 
Hlp Dislocation or Subluxation,Aminopterin fetopathy
Hlp Dislocation or Subluxation,Arthrogryposis
Hlp Dislocation or Subluxation,Auriculo-osteodysplasia
Hlp Dislocation or Subluxation,Campomelic dysplasia
Hlp Dislocation or Subluxation,Carnevale syndrome
Hlp Dislocation or Subluxation,Caudal dysplasia sequence
Hlp Dislocation or Subluxation,Cerebrocostomandibular syndrome
Hlp Dislocation or Subluxation,Cerebrooculofacioskeletal syndrome
Hlp Dislocation or Subluxation,Chondrodysplasia punctata
Hlp Dislocation or Subluxation,Cloverleaf skull deformity
Hlp Dislocation or Subluxation,Coxoauricular syndrome
Hlp Dislocation or Subluxation,Cutis laxa
Hlp Dislocation or Subluxation,"Dislocated hips  and  radial  heads, carpal coalition, and  short stature syndrome"
Hlp Dislocation or Subluxation,Ehlers-Danlos syndrome
Hlp Dislocation or Subluxation,"Familial arthrogrypotic skeletal deformities, thick  skin  patch on  forehead, unusual facial appearance, sensory defects, etc."
Hlp Dislocation or Subluxation,Fanconi Anemia
Hlp Dislocation or Subluxation,Farber syndrome
Hlp Dislocation or Subluxation,Fibrodysplasia ossificans progressiva
Hlp Dislocation or Subluxation,Geroderma osteodysplastica
Hlp Dislocation or Subluxation,Habitual hip dislocation
Hlp Dislocation or Subluxation,Hallermann-Streiff syndrome
Hlp Dislocation or Subluxation,Insensitivity to pain  (congenital)
Hlp Dislocation or Subluxation,Kniest  dysplasia
Hlp Dislocation or Subluxation,Larsen syndrome
Hlp Dislocation or Subluxation,Marfan syndrome
Hlp Dislocation or Subluxation,Mobius syndrome
Hlp Dislocation or Subluxation,Mucolipidosis II
Hlp Dislocation or Subluxation,Mucopolysaccharidosis I-H
Hlp Dislocation or Subluxation,Nager acrofacial dysostosis
Hlp Dislocation or Subluxation,Neuropathies (Pailthorpe)
Hlp Dislocation or Subluxation,Opitz trigonocephaly syndrome
Hlp Dislocation or Subluxation,"Otopalatodigital syndrome, type  I"
Hlp Dislocation or Subluxation,Poland sequence
Hlp Dislocation or Subluxation,Prader-Willi syndrome 
Hlp Dislocation or Subluxation,Prune-belly syndrome 
Hlp Dislocation or Subluxation,Rieger syndrome
Hlp Dislocation or Subluxation,Riley-Day syndrome 
Hlp Dislocation or Subluxation,Silver-Russell syndrome 
Hlp Dislocation or Subluxation,Spondyloepimetaphyseal dysplasia-joint laxity
Hlp Dislocation or Subluxation,Stoll-Charrow-Poznanski syndrome
Hlp Dislocation or Subluxation,Thalidomide embryopathy
Hlp Dislocation or Subluxation,Voluntary habitual dislocation
Hlp Dislocation or Subluxation,"X-linked mental retardation, congenital hip luxation, and  a new glucose-6-phosphate dehydrogenase variant "
Hlp Dislocation or Subluxation,Yunis-Var6n syndrome
Hyperphalangism (Accessory Phalanges),Brachydactyly type C
Hyperphalangism (Accessory Phalanges),Catel-Manzke syndrome
Hyperphalangism (Accessory Phalanges),Desbuquios dysplasia
Hyperphalangism (Accessory Phalanges),Fetal hydantoin syndrome
Hyperphalangism (Accessory Phalanges),Heart-hand syndrome type III
Hyperphalangism (Accessory Phalanges),"Hyperphalangism, facial anomalies, hallux valgus, and bronchomalacia"
Hyperphalangism (Accessory Phalanges),"MR, preaxial brachydactyly, hyperphalangism, deafness"
Hyperphalangism (Accessory Phalanges),Orofaciodigital syndrome type Vl
Degenerative Joint Changes,Acromegaly
Degenerative Joint Changes,Angel-shaped phalangoepiphyseal dysplasia
Degenerative Joint Changes,Autosomal dominant premature degenerative osteoarthropathy of the hip joint (COMP mutation) 
Degenerative Joint Changes,Brachmann-De Lange  syndrome
Degenerative Joint Changes,chondrodysplasia 
Degenerative Joint Changes,Collagenopathies 
Degenerative Joint Changes,Congenital sensory neuropathy and anhidrosis
Degenerative Joint Changes,Diabetes mellitus
Degenerative Joint Changes,Dysplasia epiphysealis hemimelica
Degenerative Joint Changes,Familial Mediterranean fever
Degenerative Joint Changes,Fibrogenesis imperfecta ossium
Degenerative Joint Changes,Gaucher disease
Degenerative Joint Changes,Insensitivity to pain  (congenital)
Degenerative Joint Changes,Lipoid  dermatoarthritis
Degenerative Joint Changes,Macrodystrophia lipomatosa
Degenerative Joint Changes,"Metaphyseal chondrodysplasia, Schmid type"
Degenerative Joint Changes,Mseleni joint  disease
Degenerative Joint Changes,Mucopolysaccharidosis IV
Degenerative Joint Changes,Multiple epiphyseal dysplasia
Degenerative Joint Changes,Osteogenesis imperfecta
Degenerative Joint Changes,Otospondylomegaepiphyseal dysplasia
Degenerative Joint Changes,Progressive pseudorheumatoid chondrodysplasia
Degenerative Joint Changes,Relapsing polychondritis
Degenerative Joint Changes,Riley-Day syndrome
Degenerative Joint Changes,Scleroderma
Degenerative Joint Changes,"Spondyloepimetaphyseal dysplasia, Irapa type"
Degenerative Joint Changes,"Spondyloepimetaphyseal dysplasia, leptodactylic type"
Degenerative Joint Changes,"Spondyloepimetaphyseal dysplasia, most forms"
Degenerative Joint Changes,Spondyloepiphyseal tarda 
Degenerative Joint Changes,Stickler syndrome                                 
Degenerative Joint Changes,Thevenard syndrome
Degenerative Joint Changes,"Trichorhinophalangeal dysplasia, type I"
Degenerative Joint Changes,Vitamin A intoxication
Joint Dislocation or Subluxation,Frontometaphyseal dysplasia  (radial head) 
Joint Dislocation or Subluxation,Aminopterin fetopathy (hip)
Joint Dislocation or Subluxation,Amyoplasia congenita
Joint Dislocation or Subluxation,Arthrogryposis
Joint Dislocation or Subluxation,Atelosteogenesis
Joint Dislocation or Subluxation,Auriculo-osteodysplasia
Joint Dislocation or Subluxation,Brachmanne-de Lange syndrome (elbow)
Joint Dislocation or Subluxation,Cat-eye syndrome
Joint Dislocation or Subluxation,Chondrodysplasia punctata
Joint Dislocation or Subluxation,Chromosomal abnormalities
Joint Dislocation or Subluxation,Coffin-Siris syndrome
Joint Dislocation or Subluxation,Congenital dislocation of radial head
Joint Dislocation or Subluxation,Congenital hip  dysplasia
Joint Dislocation or Subluxation,"Congenital knee dislocation, isolated or associated with other anomalies"
Joint Dislocation or Subluxation,Cutis laxa
Joint Dislocation or Subluxation,de Barsy syndrome
Joint Dislocation or Subluxation,Dermochondrocomeal dystrophy of Francois
Joint Dislocation or Subluxation,Desbuquois dysplasia
Joint Dislocation or Subluxation,Diastrophic dysplasia
Joint Dislocation or Subluxation,Down syndrome
Joint Dislocation or Subluxation,Dyschondrosteosis
Joint Dislocation or Subluxation,Ehlers-Danlos syndrome
Joint Dislocation or Subluxation,Familial subluxation of the metacarpophalangeal and proximal interphalangeal joints of the little finger
Joint Dislocation or Subluxation,Fanconi anemia (hip)
Joint Dislocation or Subluxation,Farber disease (hip)
Joint Dislocation or Subluxation,Fetal hydantoin syndrome
Joint Dislocation or Subluxation,Fetal trimethadione syndrome
Joint Dislocation or Subluxation,Freeman-Sheldon syndrome
Joint Dislocation or Subluxation,Genito-patellar syndrome 
Joint Dislocation or Subluxation,Geroderma osteodysplastica (hip)
Joint Dislocation or Subluxation,Hajdu-Cheney syndrome
Joint Dislocation or Subluxation,Humerospinal dysostosis (elbow)
Joint Dislocation or Subluxation,Kabuki make-up syndrome
Joint Dislocation or Subluxation,Keratosis palmaris et plantaris familiaris
Joint Dislocation or Subluxation,Kniest  dysplasia
Joint Dislocation or Subluxation,Larsen syndrome
Joint Dislocation or Subluxation,Lenz-Majewski dysplasia
Joint Dislocation or Subluxation,Marfan syndrome
Joint Dislocation or Subluxation,Mesomelic dysplasia
Joint Dislocation or Subluxation,"MR, bulbous nasal tip, joint laxity/dislocation"
Joint Dislocation or Subluxation,Mucopolysaccharidoses
Joint Dislocation or Subluxation,Nager acrofacial dysostosis
Joint Dislocation or Subluxation,Nail-patella syndrome
Joint Dislocation or Subluxation,Neurofibromatosis I
Joint Dislocation or Subluxation,Noonan syndrome (radial head)
Joint Dislocation or Subluxation,Oculodentoosseous dysplasia (hip)
Joint Dislocation or Subluxation,"Osteodysplasty, Melnick-Needles"
Joint Dislocation or Subluxation,"Osteogenesis imperfecta, type I"
Joint Dislocation or Subluxation,"Otopalatodigital syndrome, type  II (elbow)"
Joint Dislocation or Subluxation,"Otopalatodigital Syndrome, type I (elbow)"
Joint Dislocation or Subluxation,Pallister-Hall Syndrome
Joint Dislocation or Subluxation,Pallister-Killian Syndrome
Joint Dislocation or Subluxation,Potter sequence
Joint Dislocation or Subluxation,Pseudoachondroplasia (hip)
Joint Dislocation or Subluxation,Pseudodiastrophic dysplasia
Joint Dislocation or Subluxation,Pterygium Syndromes
Joint Dislocation or Subluxation,RAPADILINO syndrome
Joint Dislocation or Subluxation,Renal-coloboma Syndrome
Joint Dislocation or Subluxation,Riley-Day Syndrome (hip)
Joint Dislocation or Subluxation,Robinow syndrome
Joint Dislocation or Subluxation,Schwartz-Jampel syndrome
Joint Dislocation or Subluxation,Seckel syndrome
Joint Dislocation or Subluxation,"Short stature, dysmorphism, beaked nose; joint laxity/dislocation etc. "
Joint Dislocation or Subluxation,"Silver-Russell syndrome (elbow, hip)"
Joint Dislocation or Subluxation,Smith-Lemli-Opitz syndrome I
Joint Dislocation or Subluxation,Spondyloepimetaphyseal dysplasia with joint laxity
Joint Dislocation or Subluxation,"Spondyloepimetaphyseal dysplasia, leptodactylic type"
Joint Dislocation or Subluxation,Spondyloepimetaphyseal dysplasias (refer to
Joint Dislocation or Subluxation,Spondyloepiphyseal dysplasia congenita
Joint Dislocation or Subluxation,Stickler syndrome
Joint Dislocation or Subluxation,TAR syndrome
Joint Dislocation or Subluxation,Thevenard syndrome
Joint Dislocation or Subluxation,"Trichorhinophalangeal dysplasia,  type I (radial head)"
Joint Dislocation or Subluxation,Turner syndrome
Joint Dislocation or Subluxation,Vascular-facial dysmorphism syndromes
Joint Dislocation or Subluxation,Voluntary subluxation of the shoulder
"Joint Laxity, Hypermoblllty",Aarskog syndrome
"Joint Laxity, Hypermoblllty",Achard syndrome
"Joint Laxity, Hypermoblllty",Angel-shaped phalangoepiphyseal dysplasia (interphalangeal joints) 
"Joint Laxity, Hypermoblllty",Arterial tortuosity syndrome
"Joint Laxity, Hypermoblllty",Bannayan-Riley-Ruvalcaba syndrome
"Joint Laxity, Hypermoblllty",Beckwith-Wiedemann syndrome
"Joint Laxity, Hypermoblllty",Borjeson-Forssman-Lehmann syndrome
"Joint Laxity, Hypermoblllty",Brittle cornea syndrome (blue sclerae and joint hyperextensibility)
"Joint Laxity, Hypermoblllty",Cerebrofacioauricular syndrome of Van Maldergem
"Joint Laxity, Hypermoblllty",Chromosome 6q deletion: cutaneous and  joint laxity
"Joint Laxity, Hypermoblllty",Chromosome XXXXY syndrome
"Joint Laxity, Hypermoblllty",Coffin-Lowry syndrome
"Joint Laxity, Hypermoblllty",Coffin-Siris syndrome
"Joint Laxity, Hypermoblllty",Cohen syndrome
"Joint Laxity, Hypermoblllty",Cutis laxa
"Joint Laxity, Hypermoblllty",de Barsy syndrome
"Joint Laxity, Hypermoblllty",Deafness and metaphyseal dysostosis
"Joint Laxity, Hypermoblllty",Desbuquois dysplasia
"Joint Laxity, Hypermoblllty",Distal hyperextensibility of the thumb (present in about l/4 to 1/3 of general population)
"Joint Laxity, Hypermoblllty",Down syndrome
"Joint Laxity, Hypermoblllty","Ectodermal dysplasia, eyebrow alopecia, ptosis, joint laxity, cerebellar  ataxia"
"Joint Laxity, Hypermoblllty",Ehlers-Danlos syndrome
"Joint Laxity, Hypermoblllty",Fetal hydantoin syndrome
"Joint Laxity, Hypermoblllty",FG syndrome
"Joint Laxity, Hypermoblllty",Geoderma  osteodysplastica
"Joint Laxity, Hypermoblllty",Goltz syndrome
"Joint Laxity, Hypermoblllty",Hajdu-Cheney syndrome
"Joint Laxity, Hypermoblllty",Hallermann-Streiff syndrome
"Joint Laxity, Hypermoblllty","Hydrocephalus, tall stature, joint laxity, and kyphoscoliosis; siblings"
"Joint Laxity, Hypermoblllty","Hyperextensible joints, short  stature, mental retardation, multilobed ear tags, etc."
"Joint Laxity, Hypermoblllty",Hypermobility syndrome
"Joint Laxity, Hypermoblllty",Hypochondroplasia
"Joint Laxity, Hypermoblllty",Johanson-Blizzard Syndrome
"Joint Laxity, Hypermoblllty",Joint laxity-idiopathic scoliosis  
"Joint Laxity, Hypermoblllty","Joint laxity, vitreoretinal degeneration, dysmorphism, skeletal abnormalities"
"Joint Laxity, Hypermoblllty",Kabuki make-up syndrome
"Joint Laxity, Hypermoblllty",Larsen syndrome
"Joint Laxity, Hypermoblllty",Lenz-Majewski dysplasia
"Joint Laxity, Hypermoblllty",LEOPARD syndrome
"Joint Laxity, Hypermoblllty",Lowe syndrome
"Joint Laxity, Hypermoblllty",Macrocephaly-cutis marmorata telangiectasia syndrome
"Joint Laxity, Hypermoblllty","Mandibulofacial dysostosis, telecanthus, hearing loss, post-axial  hexadactyly, congenital hypotonia, lymphedema, joint hypermobility with congenital genu recurvatum"
"Joint Laxity, Hypermoblllty",Marfan syndrome
"Joint Laxity, Hypermoblllty",Marfanoid hypermobility syndrome
"Joint Laxity, Hypermoblllty",Megaepiphyseal dysplasia-wrinkled skin-aged appearance
"Joint Laxity, Hypermoblllty",Meier-Gorlin syndrome
"Joint Laxity, Hypermoblllty","Metaphyseal  chondrodysplasia, McKusick type"
"Joint Laxity, Hypermoblllty",Metatropic  dysplasia
"Joint Laxity, Hypermoblllty",Mitral valve prolapse syndrome
"Joint Laxity, Hypermoblllty","MR, bulbous nasal tip, joint laxity/dislocation"
"Joint Laxity, Hypermoblllty",Mucopolysaccharidosis IVA
"Joint Laxity, Hypermoblllty","Multiple endocrine neoplasia, type IIB"
"Joint Laxity, Hypermoblllty",Multiple epiphyseal dysplasia
"Joint Laxity, Hypermoblllty",Nail-patella syndrome
"Joint Laxity, Hypermoblllty",Nevo syndrome
"Joint Laxity, Hypermoblllty",Ohdo syndrome
"Joint Laxity, Hypermoblllty",Osteogenesis imperfecta
"Joint Laxity, Hypermoblllty","Osteoma cutis with dysmorphism (joint hypermobility, paravertebral!disk space calcification) "
"Joint Laxity, Hypermoblllty",Osteoporosis-pseudoglioma syndrome
"Joint Laxity, Hypermoblllty",Pallister-Killian syndrome
"Joint Laxity, Hypermoblllty",Pashayan-Pruzansky syndrome
"Joint Laxity, Hypermoblllty",Pseudoachondroplasia
"Joint Laxity, Hypermoblllty",Robinow syndrome
"Joint Laxity, Hypermoblllty",Rubinstein-Taybi syndrome
"Joint Laxity, Hypermoblllty",Seckel syndrome
"Joint Laxity, Hypermoblllty","Short stature,dysmorphism, beaked nose; joint laxity/dislocation etc."
"Joint Laxity, Hypermoblllty",SHORT syndrome
"Joint Laxity, Hypermoblllty",Spondyloepimetaphyseal dysplasia with joint laxity
"Joint Laxity, Hypermoblllty","Spondyloepimetaphyseal dysplasia, dominant metatropic type"
"Joint Laxity, Hypermoblllty","Spondyloepimetaphyseal dysplasia, Iraqi type "
"Joint Laxity, Hypermoblllty","Spondyloepimetaphyseal dysplasia, leptodactylic"
"Joint Laxity, Hypermoblllty",Spondylometaphyseal dysplasia with joint laxity and dentinogenesis imperfecta
"Joint Laxity, Hypermoblllty",Stickler syndrome
"Joint Laxity, Hypermoblllty",The 3-M syndrome
"Joint Laxity, Hypermoblllty",Trichorhinophalangeal dysplasia
"Joint Laxity, Hypermoblllty",Velocardiofacial syndrome
"Joint Laxity, Hypermoblllty",Wrinkly skin syndrome
"Joint Laxity, Hypermoblllty",Zimmermann-Laband syndrome
"Joint: Limited  Mobility,  Contractures",Aase-Smith syndrome
"Joint: Limited  Mobility,  Contractures",Acardia
"Joint: Limited  Mobility,  Contractures",Addison disease
"Joint: Limited  Mobility,  Contractures","Allan-Herndon-Dudley syndrome:X-linked mental  retardation, spastic  paraplegia, joint contractures, etc. "
"Joint: Limited  Mobility,  Contractures",Amyloidosis
"Joint: Limited  Mobility,  Contractures",Ankylosed thumbs and mental  retardation
"Joint: Limited  Mobility,  Contractures",Antley-Bixler syndrome
"Joint: Limited  Mobility,  Contractures",Apert syndrome
"Joint: Limited  Mobility,  Contractures",Aplasia cutis congenita
"Joint: Limited  Mobility,  Contractures",Arthrogryposis
"Joint: Limited  Mobility,  Contractures","Arthrogryposis, Mobius syndrome, mega cisterna magna, Wilms tumor "
"Joint: Limited  Mobility,  Contractures",Bee-keeper arthropathy (hands)
"Joint: Limited  Mobility,  Contractures",Brachmann-de Lange syndrome
"Joint: Limited  Mobility,  Contractures",Bruck syndrome
"Joint: Limited  Mobility,  Contractures","Carpotarsal osteochondromatosis, dominant"
"Joint: Limited  Mobility,  Contractures",Cerebro-oculofacioskeletal syndrome
"Joint: Limited  Mobility,  Contractures","Chondroplasia punctata, Conradi-Hunermann type    "
"Joint: Limited  Mobility,  Contractures","Chondroplasia punctata, rhizomelic type"
"Joint: Limited  Mobility,  Contractures",Christian syndrome
"Joint: Limited  Mobility,  Contractures","Chromosomal abnormalities (8, 13, 18, XXXXY etc)"
"Joint: Limited  Mobility,  Contractures",Cockayne syndrome
"Joint: Limited  Mobility,  Contractures","Congenital contractures, blepharophimosis, microphthalmia, severe retardation, etc. "
"Joint: Limited  Mobility,  Contractures","Congenital contractures, ectodermal dysplasia, cleft lip/palate, psychomotor and growth impairment, micrognathia, etc."
"Joint: Limited  Mobility,  Contractures",Contractural arachnodactyly
"Joint: Limited  Mobility,  Contractures","Contractures, pterygia, umbilical hernia, dysmorphism, brachydactyly "
"Joint: Limited  Mobility,  Contractures",Debuquois dysplasia
"Joint: Limited  Mobility,  Contractures",Dermochondrocorneal dystrophy of Francois
"Joint: Limited  Mobility,  Contractures",Diabetes mellitus (hands)
"Joint: Limited  Mobility,  Contractures",Diastrophic dysplasia
"Joint: Limited  Mobility,  Contractures",Digitotalar dysmorphism
"Joint: Limited  Mobility,  Contractures",Duchenne muscular dystrophy
"Joint: Limited  Mobility,  Contractures",Dyggve-Melchior-Clausen dysplasia
"Joint: Limited  Mobility,  Contractures",Dyschondrosteosis
"Joint: Limited  Mobility,  Contractures",Dysplasia epiphysealis hemimelica
"Joint: Limited  Mobility,  Contractures",Dyssegmental dysplasia
"Joint: Limited  Mobility,  Contractures",Emery-Nelson syndrome
"Joint: Limited  Mobility,  Contractures",Epidermolysis bullosa dystrophica
"Joint: Limited  Mobility,  Contractures",Exostoses (multiple cartilaginous)
"Joint: Limited  Mobility,  Contractures",Fabry disease
"Joint: Limited  Mobility,  Contractures",Familial arachnodactyly and distal arthrogryposis
"Joint: Limited  Mobility,  Contractures","Familial arthrogrypotic skeletal deformities, thick skin patch on forehead, unusual facial appearance, sensory defects, etc."
"Joint: Limited  Mobility,  Contractures","Familial craniosynostosis, agenesis of corpus callosum, contracture, camptodactyly, hypogonadism, etc."
"Joint: Limited  Mobility,  Contractures",Farber disease
"Joint: Limited  Mobility,  Contractures",Femoral hypoplasia-unusual facies syndrome
"Joint: Limited  Mobility,  Contractures",Fetal akinesia sequence
"Joint: Limited  Mobility,  Contractures",Fetal alcohol syndrome
"Joint: Limited  Mobility,  Contractures",Fibrodysplasia ossificans progressiva
"Joint: Limited  Mobility,  Contractures",Fluorosis
"Joint: Limited  Mobility,  Contractures",Freeman-Sheldon syndrome
"Joint: Limited  Mobility,  Contractures",Frontometaphyseal dysplasia
"Joint: Limited  Mobility,  Contractures",Geleophysic dysplasia
"Joint: Limited  Mobility,  Contractures",GEMSS syndrome
"Joint: Limited  Mobility,  Contractures",German  syndrome
"Joint: Limited  Mobility,  Contractures",GM1 gangliosidosis
"Joint: Limited  Mobility,  Contractures",Golden-Lakim syndrome
"Joint: Limited  Mobility,  Contractures",Gordon syndrome
"Joint: Limited  Mobility,  Contractures",Hemophilia
"Joint: Limited  Mobility,  Contractures",Hypothyroidism
"Joint: Limited  Mobility,  Contractures",Infantile multisystem inflammatory disease
"Joint: Limited  Mobility,  Contractures",Klein-Waardenburg syndrome
"Joint: Limited  Mobility,  Contractures",Kniest dysplasia
"Joint: Limited  Mobility,  Contractures",Kuskokwim syndrome
"Joint: Limited  Mobility,  Contractures",Kyphomelic dysplasia
"Joint: Limited  Mobility,  Contractures",Leri syndrome
"Joint: Limited  Mobility,  Contractures",Lin-Gettig syndrome
"Joint: Limited  Mobility,  Contractures",Macrodystrophia lipomatosa
"Joint: Limited  Mobility,  Contractures",Mandibuloacral dysplasia
"Joint: Limited  Mobility,  Contractures",Marden-Walker syndrome
"Joint: Limited  Mobility,  Contractures",Meier-Gorlin syndrome
"Joint: Limited  Mobility,  Contractures",Melorheostosis
"Joint: Limited  Mobility,  Contractures","Mesomelic dysplasia, Nievergelt type"
"Joint: Limited  Mobility,  Contractures","Metaphyseal chondrodysplasia, Jansen type"
"Joint: Limited  Mobility,  Contractures",Metatropic dysplasia
"Joint: Limited  Mobility,  Contractures",Mietens-Weber syndrome
"Joint: Limited  Mobility,  Contractures",Mixed connective tissue disease  
"Joint: Limited  Mobility,  Contractures",Moore-Federman syndrome
"Joint: Limited  Mobility,  Contractures",Mucolipidoses 
"Joint: Limited  Mobility,  Contractures",Mucopolysaccharidoses
"Joint: Limited  Mobility,  Contractures",Multiple epiphyseal dysplasia
"Joint: Limited  Mobility,  Contractures",Multiple synostosis syndrome
"Joint: Limited  Mobility,  Contractures",Myhre syndrome
"Joint: Limited  Mobility,  Contractures",Nail-patella syndrome
"Joint: Limited  Mobility,  Contractures",Nevo syndrome
"Joint: Limited  Mobility,  Contractures",Osebold-Remondini dysplasia
"Joint: Limited  Mobility,  Contractures",Osteogenesis imperfecta
"Joint: Limited  Mobility,  Contractures",Pachydermoperiostosis
"Joint: Limited  Mobility,  Contractures","Palmar fasciitis, polyarthritis, gastric CA"
"Joint: Limited  Mobility,  Contractures",Parastremmatic dysplasia
"Joint: Limited  Mobility,  Contractures","Pelvic dysplasia-arthrogrypotic lower limbs: widened triradiate cartilage, irregular acetabula, hypoplasia of the ilia, notched iliac wings, delayed ossification of femoral heads (Ray)"
"Joint: Limited  Mobility,  Contractures",Progeria
"Joint: Limited  Mobility,  Contractures",Progressive pseudorheumatoid chondroplasia
"Joint: Limited  Mobility,  Contractures",Pseudoachondroplasia
"Joint: Limited  Mobility,  Contractures",Pseudodiastrophic dysplasia
"Joint: Limited  Mobility,  Contractures",Pterygium syndromes
"Joint: Limited  Mobility,  Contractures",Renal-coloboma syndrome
"Joint: Limited  Mobility,  Contractures",Rigid spine syndrome
"Joint: Limited  Mobility,  Contractures",Rutledge syndrome
"Joint: Limited  Mobility,  Contractures",Schwartz-Jampel syndrome
"Joint: Limited  Mobility,  Contractures",Scleroderma
"Joint: Limited  Mobility,  Contractures",Seckel syndrome
"Joint: Limited  Mobility,  Contractures","Short stature, contractures, upper body pterygia, brachydactyly"
"Joint: Limited  Mobility,  Contractures",Shprintzen-Goldberg syndrome
"Joint: Limited  Mobility,  Contractures",Sjogren-Larsson syndrome
"Joint: Limited  Mobility,  Contractures","Spondyloepimetaphyseal dysplasia, dominant metatropic type"
"Joint: Limited  Mobility,  Contractures","Spondyloepimetaphyseal dysplasia, Irapa type     "
"Joint: Limited  Mobility,  Contractures",Spondyloepimetaphyseal dysplasias 
"Joint: Limited  Mobility,  Contractures",Spondyloepiphyseal dysplasia tarda 
"Joint: Limited  Mobility,  Contractures",Stewart-Bergstrom syndrome
"Joint: Limited  Mobility,  Contractures",Stickler syndrome
"Joint: Limited  Mobility,  Contractures","Stiff skin syndrome: thick skin, contractures, AD"
"Joint: Limited  Mobility,  Contractures",Stiff-man syndrome
"Joint: Limited  Mobility,  Contractures",Symphalangism-surdity syndrome
"Joint: Limited  Mobility,  Contractures",TAC syndrome
"Joint: Limited  Mobility,  Contractures",Tattoo dysplasia
"Joint: Limited  Mobility,  Contractures",Trismus-pseudocamptodactyly syndrome
"Joint: Limited  Mobility,  Contractures",Tumoral calcinosis
"Joint: Limited  Mobility,  Contractures",Van den Ende-Gupta
"Joint: Limited  Mobility,  Contractures",Weill-Marchesani syndrome
"Joint: Limited  Mobility,  Contractures",Winchester syndrome
"Joint: Limited  Mobility,  Contractures",X-linked mental retardation with clasped thumbs
"Joint: Limited  Mobility,  Contractures",Zellweger syndrome
Limb Overgrowth,Angelman syndrome
Limb Overgrowth,"Chondrodysplasia punctata, Conradi_Hunermann type"
Limb Overgrowth,Hemangiomas
Limb Overgrowth,Hemihypertrophy
Limb Overgrowth,Hunermann type
Limb Overgrowth,Klippel-Trenaunay syndrome
Limb Overgrowth,Lymphangioma
Limb Overgrowth,Macrodystrophia lipomatosa
Limb Overgrowth,Maffucci syndrome
Limb Overgrowth,Neurofibromatosis I
Limb Overgrowth,Proteus syndrome
Limb Overgrowth,Sturge-Weber syndrome
Limb Overgrowth,Tuberous sclerosis
Limb Overgrowth,von Hippel-Lindau syndrome
Limb Reduction or Amputation,Acheiropody
Limb Reduction or Amputation,Adams-Oliver syndrome
Limb Reduction or Amputation,Ainhum
Limb Reduction or Amputation,Al Awadi/Raas-Rothschild syndrome (limb/pelvis-hypo-plasia/aplasia syndrome)
Limb Reduction or Amputation,Aminopterin fetopathy  
Limb Reduction or Amputation,Amniotic band sequence
Limb Reduction or Amputation,Atelosteogenesis
Limb Reduction or Amputation,Brachmann-de Lange syndrome
Limb Reduction or Amputation,Cavernous angiomatosis and forearm transverse defect;familial or sporadic 
Limb Reduction or Amputation,CHILD syndrome
Limb Reduction or Amputation,Chorionic villus sampling-transverse limb deficiency 
Limb Reduction or Amputation,Cocaine abuse (maternal)
Limb Reduction or Amputation,Diabetes mellitus
Limb Reduction or Amputation,Diaphragmatic hernia and ipsilateral upper limb reduction 
Limb Reduction or Amputation,Drug-induced (misoprostol) with omphalocele
Limb Reduction or Amputation,Ectromelia associated with interstitial deletion of 7q
Limb Reduction or Amputation,EEC syndrome
Limb Reduction or Amputation,Fetal alcohol syndrome
Limb Reduction or Amputation,Fetal varicella syndrome
Limb Reduction or Amputation,Goltz syndrome
Limb Reduction or Amputation,Grebe chondrodysplasia
Limb Reduction or Amputation,Holoprosencephaly (Steinfeld syndrome) 
Limb Reduction or Amputation,Hypoglossia-hypodactylia
Limb Reduction or Amputation,Infant of the diabetic mother
Limb Reduction or Amputation,Insensitivity to pain (congenital)
Limb Reduction or Amputation,Intravascular coagulation (meningococcemia)
Limb Reduction or Amputation,Keratosis palmaris et plantaris familiaris
Limb Reduction or Amputation,Leprosy
Limb Reduction or Amputation,Lesch-Nyhan syndrome
Limb Reduction or Amputation,"Limb deficiency, vertebral hypersegmentation, rib anomalies, mirror polydactyly"
Limb Reduction or Amputation,"Limb reduction defect, lumbar appendage"
Limb Reduction or Amputation,Limb reduction defects and renal dysplasia
Limb Reduction or Amputation,"MCA syndrome with renal-hepatic-pancreatic dysplasia, posterior fossa cyst, cardiac and Mullerian abnormalities"
Limb Reduction or Amputation,Microgastria and limb reduction defects
Limb Reduction or Amputation,Mobius syndrome
